epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.783,0.75637,1.50798,1.03909,0.79913,0.9036,0.88328,0.71459,0.78437,1.08274,1.03863,0.000469328,0.000469328,0.000469328
2,495.285,0.8319,0.89601,1.04942,0.4438,0.77166,0.72819,0.49558,1.07743,2.7966,1.47853,0.000914455,0.000914455,0.000914455
3,745.75,0.87974,0.91854,1.09308,0.74777,0.87273,0.89101,0.69737,0.86314,2.2909,1.13884,0.00132814,0.00132814,0.00132814
4,989.615,0.90139,0.82894,1.08857,0.70026,0.52287,0.68159,0.50262,1.01318,1.52655,1.15615,0.00128753,0.00128753,0.00128753
5,1231.64,0.85573,0.79217,1.06441,0.88619,0.99521,0.95992,0.83696,0.63196,0.6789,0.94976,0.00124037,0.00124037,0.00124037
6,1476.12,0.8281,0.69677,1.05491,0.92356,0.92132,0.97337,0.80835,0.71978,0.73482,0.99838,0.00119322,0.00119322,0.00119322
7,1943.84,0.79841,0.64044,1.03335,0.9346,0.93196,0.96472,0.803,0.68843,0.65515,0.97072,0.00114606,0.00114606,0.00114606
8,2439.54,0.76481,0.65301,1.03178,0.93523,0.98793,0.995,0.86708,0.58024,0.51985,0.94418,0.0010989,0.0010989,0.0010989
9,2898.91,0.70837,0.5752,0.99437,0.93585,1,0.98577,0.88971,0.52303,0.46814,0.8961,0.00105174,0.00105174,0.00105174
10,3203.88,0.72379,0.57899,1.0219,0.93806,0.9697,0.9925,0.87231,0.62457,0.52776,0.92952,0.00100459,0.00100459,0.00100459
11,3452.68,0.69745,0.52886,0.98851,0.94944,0.96076,0.99197,0.85528,0.64654,0.53228,0.98953,0.00095743,0.00095743,0.00095743
12,3738.25,0.68545,0.5059,0.99215,0.99682,0.96003,0.995,0.85247,0.61452,0.4236,0.93596,0.000910273,0.000910273,0.000910273
13,3962.17,0.6662,0.50632,0.98683,0.93539,0.99608,0.995,0.85432,0.63529,0.41546,0.94228,0.000863116,0.000863116,0.000863116
14,4177.17,0.65349,0.48886,0.97751,0.94807,0.99955,0.995,0.88741,0.56694,0.39415,0.9178,0.000815959,0.000815959,0.000815959
15,4392.21,0.64271,0.47204,0.97305,0.95504,1,0.995,0.90663,0.53426,0.38435,0.8942,0.000768802,0.000768802,0.000768802
16,4790.1,0.61455,0.44156,0.96183,0.94753,1,0.995,0.90009,0.54356,0.36373,0.87797,0.000721645,0.000721645,0.000721645
17,5237.57,0.61818,0.45556,0.95826,0.93975,0.99964,0.98574,0.87492,0.56934,0.41025,0.89629,0.000674488,0.000674488,0.000674488
18,5458.38,0.60189,0.41978,0.95808,0.97838,1,0.995,0.88864,0.53705,0.34789,0.89867,0.000627331,0.000627331,0.000627331
19,5761,0.5892,0.3991,0.95568,0.9681,1,0.995,0.90598,0.50503,0.32503,0.87122,0.000580174,0.000580174,0.000580174
20,6166.36,0.57751,0.39166,0.93768,0.9573,1,0.995,0.90756,0.50759,0.324,0.89256,0.000533017,0.000533017,0.000533017
21,6378.7,0.47519,0.31798,0.8676,0.98302,0.97162,0.995,0.90793,0.51006,0.31828,0.87544,0.00048586,0.00048586,0.00048586
22,6629.68,0.47939,0.30704,0.8647,0.98796,1,0.995,0.90925,0.47369,0.29839,0.86393,0.000438703,0.000438703,0.000438703
23,6875.53,0.47228,0.31685,0.86267,0.98184,0.99859,0.995,0.87363,0.54602,0.31013,0.88223,0.000391546,0.000391546,0.000391546
24,7121.28,0.45894,0.30003,0.84856,0.97281,0.97925,0.995,0.90383,0.46454,0.29592,0.86643,0.000344389,0.000344389,0.000344389
25,7367.8,0.43319,0.28865,0.84098,0.94887,0.99878,0.995,0.90186,0.48689,0.3171,0.86142,0.000297232,0.000297232,0.000297232
26,7611.96,0.42476,0.28071,0.83655,0.95359,1,0.995,0.90285,0.50414,0.31291,0.86432,0.000250075,0.000250075,0.000250075
27,7858.41,0.41359,0.26326,0.83111,0.95675,1,0.995,0.90254,0.47312,0.29234,0.85712,0.000202918,0.000202918,0.000202918
28,8100.54,0.40255,0.25959,0.83395,0.96538,1,0.995,0.92306,0.44968,0.28541,0.8511,0.000155761,0.000155761,0.000155761
29,8339.65,0.39638,0.24966,0.82124,0.95805,1,0.995,0.9343,0.43859,0.25906,0.84406,0.000108604,0.000108604,0.000108604
30,8578.23,0.38029,0.24681,0.82533,0.95781,1,0.995,0.93002,0.44807,0.25968,0.84886,6.1447e-05,6.1447e-05,6.1447e-05
